timestamp,sequence,battery,flags,IMU-ch1,IMU-ch2,IMU-ch3,IMU-ch4,IMU-ch5,IMU-ch6,IMU-ch7,IMU-ch8,IMU-ch9
72588450578,11507,5,0,0.0100000000,0.0055555556,-0.0200000000,-6.5000000000,29.8125000000,22.7500000000,-2.2300000000,-3.9600000000,-8.2900000000
72588464393,11508,5,0,-0.0011111111,0.0011111111,-0.0066666667,-6.5000000000,29.8125000000,22.7500000000,-2.2000000000,-3.9600000000,-8.2800000000
72588491823,11509,5,0,-0.0100000000,0.0000000000,-0.0011111111,-6.5000000000,29.8125000000,22.7500000000,-2.2500000000,-3.8700000000,-8.2200000000
72588524434,11510,5,0,0.0000000000,0.0011111111,0.0000000000,-4.8750000000,29.8125000000,24.6250000000,-2.2100000000,-3.9700000000,-8.2200000000
72588555553,11511,5,0,0.0022222222,0.0011111111,0.0000000000,-4.8750000000,29.8125000000,24.6250000000,-2.1900000000,-3.9800000000,-8.2000000000
72588589220,11512,5,0,0.0000000000,0.0100000000,0.0133333333,-4.8750000000,29.8125000000,24.6250000000,-2.3000000000,-3.9800000000,-8.2600000000
72588622953,11513,5,0,-0.0022222222,0.0066666667,0.0144444444,-5.6875000000,30.5000000000,24.6250000000,-2.1500000000,-3.8800000000,-8.2900000000
72588654297,11514,5,0,-0.0022222222,0.0011111111,0.0044444444,-5.6875000000,30.5000000000,24.6250000000,-2.1500000000,-3.8700000000,-8.2000000000
72588676774,11515,5,0,-0.0066666667,0.0122222222,-0.0033333333,-5.6875000000,30.5000000000,24.6250000000,-2.2600000000,-3.8700000000,-8.2100000000
72588707989,11516,5,0,-0.0033333333,0.0144444444,-0.0155555556,-6.5000000000,29.8125000000,25.0000000000,-2.2000000000,-3.9000000000,-8.2900000000
72588812774,11517,5,0,-0.0011111111,0.0000000000,-0.0133333333,-6.5000000000,29.8125000000,25.0000000000,-2.2100000000,-3.8700000000,-8.2600000000
72588821857,11518,5,0,-0.0033333333,-0.0044444444,-0.0300000000,-6.5000000000,29.8125000000,25.0000000000,-2.1800000000,-3.9400000000,-8.1700000000
72588833073,11519,5,0,-0.0100000000,0.0055555556,-0.0144444444,-6.5000000000,29.0625000000,25.3750000000,-2.2600000000,-3.8800000000,-8.2400000000
72588844549,11520,5,0,0.0000000000,0.0055555556,-0.0211111111,-6.5000000000,29.0625000000,25.3750000000,-2.2300000000,-3.9300000000,-8.2500000000
72588870615,11521,5,0,-0.0022222222,0.0000000000,-0.0111111111,-6.5000000000,29.0625000000,25.3750000000,-2.2200000000,-3.9600000000,-8.2500000000
72588908447,11522,5,0,-0.0011111111,0.0000000000,0.0000000000,-6.5000000000,29.0625000000,25.3750000000,-2.2500000000,-3.9500000000,-8.2300000000
72588930633,11523,5,0,-0.0022222222,0.0022222222,0.0000000000,-6.5000000000,29.0625000000,25.3750000000,-2.2000000000,-3.9100000000,-8.1800000000
72588972998,11524,5,0,-0.0033333333,0.0111111111,0.0033333333,-6.5000000000,29.0625000000,25.3750000000,-2.2100000000,-3.9400000000,-8.1800000000
72588988001,11525,5,0,0.0022222222,0.0233333333,0.0055555556,-6.5000000000,29.0625000000,25.3750000000,-2.2900000000,-3.9100000000,-8.2000000000
72589020487,11526,5,0,0.0000000000,0.0211111111,0.0055555556,-5.6875000000,29.4375000000,25.3750000000,-2.2600000000,-3.9500000000,-8.2600000000
72589055458,11527,5,0,-0.0022222222,0.0177777778,0.0122222222,-5.6875000000,29.4375000000,25.3750000000,-2.2600000000,-3.8700000000,-8.1300000000
72589085425,11528,5,0,-0.0044444444,0.0333333333,0.0000000000,-5.6875000000,29.4375000000,25.3750000000,-2.3300000000,-3.9500000000,-8.1600000000
72589114806,11529,5,0,-0.0055555556,0.0333333333,0.0122222222,-6.1250000000,30.8750000000,23.5000000000,-2.2800000000,-3.9400000000,-8.2500000000
72589166990,11530,5,0,-0.0100000000,0.0244444444,0.0200000000,-6.1250000000,30.8750000000,23.5000000000,-2.2900000000,-4.0800000000,-8.2700000000
72589176757,11531,5,0,-0.0111111111,0.0122222222,0.0411111111,-6.1250000000,30.8750000000,23.5000000000,-2.3000000000,-3.8900000000,-8.3000000000
72589208626,11532,5,0,-0.0066666667,-0.0022222222,0.0244444444,-6.1250000000,29.4375000000,25.0000000000,-2.2500000000,-3.9600000000,-8.2200000000
72589242042,11533,5,0,-0.0166666667,-0.0077777778,0.0200000000,-6.1250000000,29.4375000000,25.0000000000,-2.1800000000,-3.9600000000,-8.2100000000
72589276972,11534,5,0,-0.0055555556,-0.0166666667,-0.0011111111,-6.1250000000,29.4375000000,25.0000000000,-2.2400000000,-3.9000000000,-8.2000000000
72589309361,11535,5,0,-0.0011111111,-0.0044444444,-0.0144444444,-6.1250000000,30.1250000000,23.1250000000,-2.2500000000,-3.8900000000,-8.1300000000
